Name,Province,ClimateID,WMOID,TCID,Lat,Lng,Elev,hlyStartYear,hlyEndYear,dlyStartYear,dlyEndYear,mlyStartYear,mlyEndYear
CHILLIWACK R HATCHERY,BC,1101N65,,,49.08,-121.7,225,,,1961,2016,1961,2007
COQUITLAM MUNDY PARK 2,BC,1101Q9A,,,49.26,-122.84,150,,,1989,2003,1989,2003
COQUITLAM MUNDY PARK 3,BC,1101QRJ,,,49.25,-122.84,144.4,,,1992,2003,1992,2003
CULTUS LAKE,BC,1102220,,,49.08,-121.98,45.7,,,1931,1994,1931,1994
CULTUS LAKE,BC,1102221,,VCL,49.08,-121.98,45.7,2012,2019,2018,2019,,
CULTUS LAKE LINDELL,BC,1102222,,,49.03,-122.02,61,,,1981,1988,1981,1988
CYPRESS BOWL 1425,BC,1102252,,,49.41,-123.2,1425,,,1999,2004,1999,2004
CYPRESS BOWL,BC,1102253,,,49.4,-123.2,930,,,1984,2004,1984,2004
CYPRESS BOWL UPPER,BC,1102254,,,49.4,-123.19,1210,,,1985,2004,1985,2004
CYPRESS BOWL NORTH,BC,1102255,,VOE,49.4,-123.21,953,2005,2010,2005,2010,2005,2007
CYPRESS BOWL SOUTH,BC,1102256,,VOG,49.38,-123.19,885.5,2005,2010,2005,2010,2005,2005
CYPRESS BOWL GRANDSTAND,BC,1102257,,VWG,49.4,-123.21,968,2010,2010,2010,2010,,
DELTA ANNIEVILLE,BC,1102410,,,49.15,-122.92,85.3,,,1971,1972,1971,1972
DELTA BEACH GROVE,BC,1102412,,,49.03,-123.07,3,,,1984,1984,1984,1984
DELTA BURNS BOG,BC,1102415,71042,VBB,49.13,-123,3.11,2010,2019,2011,2019,,
DELTA LADNER EAST,BC,1102416,,,49.08,-123.07,1.5,,,1971,1975,1971,1975
DELTA LADNER SOUTH,BC,1102417,,,49.07,-123.08,2,,,1971,1989,1971,1989
DELTA OLIVER SLOUGH,BC,1102419,,,49.08,-122.92,1.8,,,1971,1975,1971,1975
DELTA PEBBLE HILL,BC,1102420,,,49,-123.08,51,,,1961,1996,1961,1996
DELTA SUNSHINE HILLS,BC,1102422,,,49.12,-122.92,64,,,1987,1997,1987,1997
DELTA TSAWWASSEN,BC,1102424,,,49.02,-123.1,53.3,,,1959,1969,1959,1969
DELTA TSAWWASSEN BEACH,BC,1102425,,,49.01,-123.09,2.4,,,1971,2019,1971,2007
DEROCHE,BC,1102465,,,49.18,-122.07,61,,,1984,1990,1984,1990
ELBOW LAKE,BC,1102650,,,49.28,-121.97,218,,,1980,1989,1981,1989
ESSONDALE,BC,1102725,,,49.25,-122.82,53.3,,,1960,1961,1960,1961
FORT LANGLEY,BC,1102910,,,49.2,-122.62,6.1,,,1953,1956,1953,1956
FORT LANGLEY TELEGRAPH TRAIL,BC,1102912,,,49.14,-122.55,76,,,2005,2019,2005,2007
EDENBANK SARDIS,BC,1102F3H,,,49.13,-121.97,10,,,1977,1997,1977,1997
HANEY,BC,1103322,,,49.22,-122.6,25.9,,,1958,1962,1958,1962
HANEY CORRL INSTN,BC,1103324,,,49.25,-122.52,141.7,,,1960,1981,1960,1981
HANEY EAST,BC,1103326,,,49.2,-122.56,30.5,,,1959,2011,1959,2007
HANEY 532,BC,1103327,,,49.25,-122.62,3,,,1967,1970,1967,1970
HANEY PINE RIDGE CAMP,BC,1103329,,,49.27,-122.52,150,,,1981,1981,,
HANEY UBC RF ADMIN,BC,1103332,,,49.26,-122.57,147,,,1961,2019,1961,2007
HANEY UBC RF LOON LAKE,BC,1103333,,,49.3,-122.58,353.6,,,1962,1972,1962,1972
HANEY UBC RF SPUR 17,BC,1103334,,,49.3,-122.55,373.4,,,1961,1972,1961,1972
HATZIC LAKE,BC,1103342,,,49.17,-122.25,25,,,1959,2000,1959,2000
HEMLOCK,BC,1103440,,,49.38,-121.93,976.9,,,1982,1985,1983,1985
HOLLYBURN RIDGE,BC,1103510,,,49.38,-123.18,930,,,1954,1995,1954,1995
HOWE SOUND STRACHAN CRK,BC,110361F,,,49.42,-123.23,20,,,1994,2006,1994,2006
HUNTINGDON METER STATION,BC,1103635,,,49,-122.22,7.6,,,1961,1968,1961,1968
HUNTINGDON VYE ROAD,BC,1103636,,,49.03,-122.2,25,,,1971,1992,1972,1992
INDIAN ARM CENTRAL,BC,1103647,,,49.38,-122.88,1,,,1986,1989,1986,1989
INDIAN ARM WOODLANDS,BC,1103648,,,49.33,-122.92,15,,,1987,2001,1987,2001
IOCO REFINERY,BC,1103660,,,49.3,-122.88,53.3,,,1916,1995,1916,1995
KENSINGTON PRAIRIE,BC,1104080,,,49.07,-122.78,27.4,,,1953,1978,1953,1978
LADNER,BC,1104468,,,49.08,-123.07,9.1,,,1878,1934,1878,1934
LADNER,BC,1104470,,,49.08,-123.02,1.2,,,1952,1971,1952,1971
LADNER BCHPA,BC,1104473,,,49.08,-123.05,1.5,,,1975,1978,1975,1978
LADNER MONITOR STN,BC,1104477,,,49.07,-123.12,0,,,1960,1971,1960,1971
LADNER PORT GUICHON,BC,1104484,,,49.08,-123.1,0,,,1960,1975,1960,1975
LAIDLAW,BC,1104488,,,49.36,-121.58,37,,,1977,2017,1977,2007
LANGLEY,BC,1104550,,,49.18,-122.53,,,,1878,1900,1878,1900
LANGLEY CAMPBELL R PK,BC,1104553,,,49.03,-122.67,56,,,1987,1996,1987,1996
LANGLEY CENTRE,BC,1104554,,,49.08,-122.62,59.4,,,1988,1994,1988,1994
LANGLEY LOCHIEL,BC,1104555,,,49.05,-122.58,100.9,,,1957,1986,1957,1986
LANGLEY PRAIRIE,BC,1104560,,,49.15,-122.65,86.9,,,1953,1983,1953,1983
LANGLEY RIVER ROAD,BC,1104562,,,49.17,-122.53,15,,,1987,1999,1987,1999
LANGLEY WELLS,BC,1104565,,,49.07,-122.67,45.7,,,1964,1965,1964,1965
LANGLEY 96 AVENUE,BC,1104569,,,49.18,-122.6,13,,,1987,1987,1987,1987
LANGLEY SOUTH,BC,110456B,,,49.03,-122.55,61,,,1995,1996,1995,1996
LIONS BAY,BC,1104634,,,49.45,-123.24,52,,,1983,2004,1983,2004
MAPLE RIDGE,BC,1104902,,,49.23,-122.62,23,,,1973,1991,1973,1991
MAPLE RIDGE FERGUSON AVENUE,BC,1104910,,,49.21,-122.48,150,,,2015,2015,,
MATSQUI,BC,1104927,,,49.1,-122.3,5,,,1987,1988,1987,1988
MATSQUI ROSS ROAD,BC,1104928,,,49.07,-122.4,120,,,1987,1991,1987,1991
MAPLE RIDGE KANAKA CREEK,BC,1104R02,,,49.21,-122.51,76,,,1986,2018,1986,2007
MILNER AIC,BC,1105155,,,49.13,-122.62,7.6,,,1967,1979,1967,1979
MISSION,BC,1105190,,,49.13,-122.33,60,,,1953,1992,1953,1992
MISSION WEST ABBEY,BC,1105192,,,49.15,-122.27,197,,,1962,2019,1962,2007
RICHMOND OPERATIONS CENTRE,BC,1105210,71112,VMO,49.18,-123.08,16,2010,2018,2010,2018,,
MOUNT SEYMOUR,BC,1105230,,,49.43,-122.95,823,,,1958,1968,1958,1968
NEW WESTMINSTER,BC,1105550,,,49.22,-122.93,118.9,,,1874,1966,1874,1966
NEW WESTMINSTER BC PEN,BC,1105553,,,49.22,-122.9,18.3,,,1960,1980,1960,1980
NEW WESTM QUEENS PARK,BC,1105560,,,49.22,-122.92,100.6,,,1958,1958,1958,1958
NEW WESTMINSTER WEST,BC,1105570,,,49.22,-122.93,83.8,,,1960,1971,1960,1971
NORTH BURNABY UNION,BC,1105627,,,49.28,-122.95,121.9,,,1973,1980,1973,1980
NORTH NICOMEN,BC,1105630,,,49.2,-122.03,18,,,1897,1928,1897,1928
N VANCOUVER CANYON HTS,BC,1105652,,,49.37,-123.1,208.8,,,1956,1957,1956,1957
N VANCOUVER CAPILANO,BC,1105655,,,49.35,-123.12,93,,,1955,1990,1955,1990
NORTH VANCOUVER CITY,BC,1105656,,,49.32,-123.08,88.4,,,1960,1961,1960,1961
N VANCOUVER GLENAIRE,BC,1105657,,,49.33,-123.12,15.2,,,1964,1966,1965,1966
N VANC GROUSE MTN RESORT,BC,1105658,,,49.38,-123.08,1103,,,1971,2019,1971,2007
NORTH VANCOUVER HOLYROOD,BC,1105659,,,49.35,-123.08,182.9,,,1960,1968,1960,1968
N VANCOUVER LYNN CREEK,BC,1105660,,,49.37,-123.03,190.5,,,1964,1983,1964,1983
N VANCOUVER LYNN VALLEY,BC,1105661,,,49.35,-123.03,152.4,,,1960,1964,1960,1964
N VANCOUVER MOSQUITO CR,BC,1105663,,,49.35,-123.08,344.4,,,1954,1960,1954,1960
NORTH VANCOUVER NORGATE,BC,1105664,,,49.32,-123.12,4.6,,,1960,1963,1960,1963
N VANCOUVER N LONSDALE,BC,1105665,,,49.35,-123.07,308,,,1960,2004,1960,2004
N VANCOUVER 2ND NARROWS,BC,1105666,,,49.3,-123.01,4,,,1957,2008,1957,2007
N VANCOUVER UPR LONSDALE,BC,1105667,,,49.35,-123.07,350.5,,,1964,1965,1964,1965
N VANCOUVER UPPER LYNN,BC,1105668,,,49.35,-123.03,176.8,,,1960,1980,1960,1980
N VANCOUVER WHARVES,BC,1105669,,,49.31,-123.12,7,,,1962,2019,1962,2007
N VANCOUVER DOLLARTON 2,BC,1105F5F,,,49.32,-122.95,109.7,,,1990,1993,1990,1993
PITT LAKE,BC,1106174,,,49.43,-122.52,7.6,,,1958,1959,1958,1959
PITT MEADOWS A,BC,1106177,,YPK,49.22,-122.71,3.35,,,1959,1960,1959,1960
PITT MEADOWS CS,BC,1106178,71775,WMM,49.21,-122.69,5,1994,2019,1993,2019,1993,2007
PITT MEADOWS LOUGHEED,BC,1106179,,,49.23,-122.68,6.1,,,1960,1969,1960,1969
PITT POLDER,BC,1106180,,,49.27,-122.63,5,,,1951,2010,1951,2007
PITT RIVER,BC,1106190,,,49.25,-122.73,5.5,,,1957,1959,1957,1959
POINT ATKINSON,BC,1106200,71037,WSB,49.33,-123.26,14,1996,2019,1968,2019,1968,2001
PORT COQUITLAM,BC,1106255,,,49.27,-122.78,12,,,1958,1990,1958,1990
PORT COQUITLAM CITY YARD,BC,1106256,,,49.27,-122.78,6.7,,,1971,1990,1971,1990
PRT COQUITLAM PRAIRIE RD,BC,1106257,,,49.27,-122.73,2.7,,,1971,1974,1972,1974
PORT KELLS,BC,1106300,,,49.15,-122.7,9.1,,,1953,1965,1953,1965
PORT MOODY CENTRE,BC,11063L2,,,49.28,-122.85,23,,,1970,1989,1970,1989
REIDVILLE,BC,1106720,,,49.12,-122.85,99.1,,,1953,1958,1953,1958
RICHMOND CBC TRANSMITTER,BC,1106762,,,49.15,-123.12,1.5,,,1961,1969,1962,1969
RICHMOND BROADMOOR,BC,1106763,,,49.13,-123.13,1,,,1986,1993,1986,1993
RICHMOND DALLYN 2,BC,1106764,,,49.18,-123.09,1.8,,,1963,2019,1963,2007
RICHMOND EAST,BC,1106765,,,49.18,-122.97,0.6,,,1959,1961,1960,1961
RICHMOND MCLENNAN ROAD,BC,1106766,,,49.2,-123.1,1.8,,,1970,1973,1970,1973
RICHMOND MINLER ROAD,BC,1106767,,,49.15,-123.15,1.2,,,1970,1970,1970,1970
RICHMOND NELSON RD,BC,1106768,,,49.17,-123.02,1.8,,,1961,1963,1961,1963
RICHMOND RIVER ROAD EAST,BC,1106770,,,49.2,-123.03,2.1,,,1970,1970,1970,1970
ROSEDALE,BC,1106865,,,49.18,-121.8,10.7,,,1967,1988,1967,1988
RUSKIN,BC,1106910,,,49.17,-122.42,30.5,,,1966,1969,1966,1969
PORT MOODY GLENAYRE,BC,1106CL2,,,49.28,-122.88,129.5,,,1970,2019,1970,2007
RICHMOND BROADMOOR 2,BC,1106GF3,,,49.15,-123.12,2,,,1990,1993,1990,1993
PORT MOODY MERIDIAN,BC,1106L3K,,,49.3,-122.8,325.5,,,1974,1975,1974,1975
RICHMOND GEAL RD,BC,1106P6N,,,49.15,-123.17,1.2,,,1976,1988,1976,1988
RICHMOND NATURE PARK,BC,1106PF7,,,49.17,-123.09,3,,,1977,2019,1977,2007
SANDHEADS CS,BC,1107010,71209,WVF,49.11,-123.3,11,1994,2019,1991,2019,1991,1999
SARDIS,BC,1107080,,,49.08,-121.89,106.7,,,1954,2010,1954,2007
SARDIS 2,BC,1107083,,,49.12,-121.95,24,,,1991,1994,1991,1994
SEYMOUR CREEK,BC,1107195,,,49.42,-122.95,177.7,,,1924,1947,1924,1947
SEYMOUR FALLS,BC,1107200,,,49.44,-122.97,244,,,1927,2003,1927,2003
STAVE FALLS,BC,1107680,,,49.23,-122.37,110,,,1909,2004,1909,2004
STAVE LAKE SEVENTYNINE CREEK,BC,1107689,,,49.28,-122.33,106,,,1987,1995,1987,1995
STEVESTON,BC,1107710,,,49.13,-123.19,0,,,1896,2004,1896,2004
SUMAS CANAL,BC,1107785,,,49.11,-122.11,9,,,1957,2019,1957,2007
SUMAS PRAIRIE,BC,1107788,,,49.05,-122.13,3,,,1969,1976,1970,1976
SUMAS PRAIRIE 2,BC,1107790,,,49.05,-122.15,10.1,,,1980,1980,1980,1980
SURREY KWANTLEN PARK,BC,1107873,,,49.19,-122.86,78,,,1960,2011,1960,2007
SURREY MUNICIPAL HALL,BC,1107876,,,49.11,-122.83,76,,,1962,2006,1962,2006
SURREY NEWTON,BC,1107878,,,49.13,-122.85,73.2,,,1960,2000,1960,2000
SURREY SUNNYSIDE,BC,1107879,,,49.05,-122.77,95.1,,,1960,1983,1960,1983
SURREY BRIDGEVIEW,BC,11078GK,,,49.22,-122.87,9.1,,,1971,1971,1971,1971
SURREY TYNEHEAD B,BC,1107H79,,,49.21,-122.78,77.1,,,1994,2005,1994,2005
SURREY 99A AVE,BC,1107H7H,,,49.18,-122.85,96,,,1974,1993,1974,1993
SURREY WHITE ROCK,BC,1107H7R,,,49.03,-122.77,54.9,,,1980,1987,1980,1987
SURREY 104 AVE 164 ST,BC,1107QP8,,,49.2,-122.77,65.5,,,1974,1974,1974,1974
TSAWWASSEN FERRY AUTO,BC,1108291,,VTF,49,-123.13,7.3,2012,2019,2018,2019,,
VANCOUVER SEA ISLAND CCG,BC,1108380,71608,VVR,49.18,-123.19,2.11,2013,2019,2013,2019,,
VANCOUVER INTL A,BC,1108395,71892,YVR,49.19,-123.18,4.3,2013,2019,2013,2019,,
VANCOUVER CEDAR COTTAGE,BC,1108410,,,49.25,-123.05,79.2,,,1972,1976,1972,1976
VANCOUVER CENTRAL PARK,BC,1108414,,,49.23,-123.02,121.9,,,1981,1982,1981,1982
VANCOUVER INT'L HWOS,BC,1108425,,,49.19,-123.18,4.3,,,2014,2014,,
VANCOUVER CITY HALL,BC,1108430,,,49.28,-123.12,86.3,,,1924,1987,1924,1987
VANCOUVER HILLCREST,BC,1108433,,VWC,49.23,-123.1,83.9,2009,2010,2009,2010,,
VANCOUVER DUNBAR,BC,1108435,,,49.23,-123.18,61,,,1955,1974,1955,1974
VANCOUVER DUNBAR SOUTH,BC,1108436,,,49.25,-123.18,61,,,1966,1982,1966,1982
VANCOUVER EXHIB PARK,BC,1108440,,,49.28,-123.05,35.1,,,1955,1964,1955,1964
VANCOUVER FAIRVIEW,BC,1108442,,,49.27,-123.13,35.1,,,1957,1958,1957,1958
VANCOUVER FRASERVIEW,BC,1108445,,,49.2,-123.05,85.3,,,1955,1958,1955,1958
VANCOUVER HARBOUR CS,BC,1108446,71201,WHC,49.3,-123.12,2.5,1976,2019,1925,2019,1925,2007
VANCOUVER INT'L A,BC,1108447,,YVR,49.2,-123.18,4.3,1953,2013,1937,2013,1937,2013
VANCOUVER KERRISDALE,BC,1108448,,,49.23,-123.17,45.7,,,1960,1961,1960,1961
VANCOUVER KERRISDALE,BC,1108449,,,49.23,-123.13,88.4,,,1970,1980,1970,1980
VANCOUVER KINGCREST,BC,1108450,,,49.25,-123.08,65.5,,,1955,1961,1955,1961
VANCOUVER KITSILANO,BC,1108453,,,49.27,-123.17,12,,,1956,1990,1956,1990
VANCOUVER MARPOLE,BC,1108455,,,49.2,-123.13,30.5,,,1955,1957,1955,1957
VANCOUVER MT PLEASANT,BC,1108460,,,49.27,-123.1,48.8,,,1955,1956,1955,1956
VANCOUVER OAK 53,BC,1108462,,,49.22,-123.13,82.3,,,1970,1977,1970,1977
VANCOUVER OAKRIDGE,BC,1108463,,,49.23,-123.12,76,,,1960,2008,1960,2007
VANCOUVER PMO,BC,1108465,,,49.28,-123.12,59.4,,,1898,1979,1898,1979
VANCOUVER QUILCHENA,BC,1108470,,,49.23,-123.15,83.8,,,1955,1961,1955,1961
VANCOUVER RUPERT ST,BC,1108471,,,49.23,-123.03,91.1,,,1984,1984,1984,1984
VANCOUVER SOUTHLANDS,BC,1108473,,,49.23,-123.18,8,,,1960,2004,1960,2004
VANCOUVER SOUTH FRASER,BC,1108475,,,49.22,-123.07,64,,,1955,1972,1955,1972
VANCOUVER TRAFALGAR PK,BC,1108482,,,49.27,-123.15,42,,,1995,1999,1995,1999
VANCOUVER UBC,BC,1108487,,,49.25,-123.25,76,,,1957,1995,1957,1995
VANCOUVER WEST PT GREY,BC,1108488,,,49.27,-123.22,61,,,1963,1966,1963,1966
VANCOUVER WPG BYNG,BC,1108489,,,49.27,-123.2,76.2,,,1968,1970,1968,1970
VEDDER SOUTH LICKMAN,BC,1108530,,,49.1,-122,15.2,,,1964,1968,1964,1968
WEST VANCOUVER,BC,1108820,,,49.33,-123.17,28.7,,,1953,1961,1953,1961
W VANC BALLANTREE PLACE,BC,1108823,,,49.37,-123.13,289.6,,,1972,1988,1972,1988
WEST VANCOUVER AUT,BC,1108824,71784,WWA,49.35,-123.19,170.21,1994,2019,1992,2019,1992,2007
W VANC CAPILANO GCC,BC,1108825,,,49.35,-123.12,200.9,,,1976,1998,1976,1998
W VANCOUVER COPPER COVE,BC,1108826,,,49.38,-123.28,45.7,,,1959,1972,1960,1972
W VANCOUVER CYPRESS PARK,BC,1108828,,,49.35,-123.25,155,,,1957,1994,1957,1994
W VANCOUVER DUNDARAVE,BC,1108829,,,49.33,-123.18,2,,,1971,1986,1971,1986
WEST VANCOUVER KEW BEACH,BC,1108831,,,49.35,-123.25,64,,,1959,1963,1959,1963
WEST VANCOUVER MACBETH,BC,1108835,,,49.33,-123.12,54.9,,,1955,1973,1955,1973
WEST VANCOUVER MATHERS,BC,1108837,,,49.33,-123.18,45.7,,,1966,1980,1966,1980
W VANCOUVER MILLSTREAM,BC,1108840,,,49.37,-123.13,381,,,1961,1992,1961,1992
WEST VANCOUVER OTTAWA,BC,1108844,,,49.33,-123.17,121.9,,,1960,1963,1960,1963
W VANCOUVER PALMERSTON,BC,1108846,,,49.33,-123.15,121.9,,,1961,1972,1961,1972
WEST VANCOUVER RENA CRES,BC,1108848,,,49.33,-123.15,146.3,,,1962,1975,1962,1975
WHALLEY BALL PARK,BC,1108885,,,49.2,-122.85,80.8,,,1971,1972,1972,1972
WHALLEY BOLIVAR CRESCENT,BC,1108886,,,49.2,-122.85,61,,,1959,1962,1960,1962
WHALLEY FOREST NURSERY,BC,1108890,,,49.18,-122.83,83.8,,,1958,1994,1958,1994
WHALLEY HILTON ROAD,BC,1108892,,,49.2,-122.85,91.4,,,1961,1963,1961,1963
WHISTLER ROUNDHOUSE,BC,1108906,,,50.07,-122.95,1835,,,1972,2019,1973,2007
WHITE ROCK CAMPBELL SCIENTIFIC,BC,1108910,71785,WWK,49.02,-122.78,13,1994,2019,1929,2019,1929,2007
WHITE ROCK BREARLEY,BC,1108911,,,49.03,-122.82,76.2,,,1970,1970,1970,1970
WHITE ROCK OCEAN PARK,BC,1108913,,,49.04,-122.88,45.7,,,1988,2007,1988,2007
WHITE ROCK STP,BC,1108914,,,49.02,-122.78,13,,,1964,2002,1964,2002
WHONNOCK,BC,1108920,,,49.21,-122.48,162,,,1985,1986,1985,1986
WHONNOCK NO 5 RD,BC,1108923,,,49.18,-122.47,61,,,1959,1960,1959,1960
WHONNOCK THORN HILL,BC,1108925,,,49.18,-122.5,213.4,,,1957,1969,1957,1969
WHONNOCK 269 ST,BC,1108927,,,49.18,-122.48,61,,,1960,1975,1960,1975
WHISTLER MOUNTAIN HIGH LEVEL,BC,1108987,,VOA,50.08,-122.95,1639.97,2005,2010,2005,2010,2005,2007
WHISTLER MOUNTAIN LOW LEVEL,BC,1108988,,VOB,50.09,-122.98,933.13,2005,2010,2005,2010,2005,2007
WHISTLER MOUNTAIN HIGH LEVEL REMOTE WIND,BC,1108989,,VOH,50.07,-122.95,1690,2005,2010,2005,2010,,
WHISTLER MOUNTAIN MID-STATION,BC,1108990,,VOL,50.09,-122.96,1320,2007,2010,2007,2010,,
W VANCOUVER CRESTWELL RD,BC,1108H2G,,,49.35,-123.15,304.8,,,1973,1974,1973,1974
VANCOUVER WALES ST,BC,1108M87,,,49.22,-123.05,91.1,,,1982,1986,1982,1986
YARROW,BC,1109004,,,49.07,-122.07,99.1,,,1960,1964,1960,1964
YARROW SUMAS LAKE,BC,1109006,,,49.08,-122.12,9.1,,,1961,1968,1961,1968
BURNABY METROTOWN,BC,110A1ND,,,49.22,-123,125,,,1987,1998,1987,1998
COQUITLAM NORTH,BC,110A8R1,,,49.27,-122.85,51,,,1991,1996,1991,1996
N VANCOUVER W KEITH RD,BC,110B001,,,49.32,-123.08,64,,,1997,2002,1997,2002
HANEY UBC RF MARC,BC,110CCCC,,,49.28,-122.58,114.3,,,1945,1972,1945,1972
LIONS BAY 2,BC,110D634,,,49.45,-123.23,40,,,1988,1989,1988,1989
MAPLE RIDGE STP,BC,110D90K,,,49.22,-122.63,6.1,,,1974,1974,1974,1974
MISSION HARTLEY RD,BC,110EA90,,,49.25,-122.23,137.2,,,1979,1984,1979,1984
N VANCOUVER CLEVELAND,BC,110EF56,,,49.36,-123.11,157,,,1968,2003,1968,2003
N VANC GRAND BLVD,BC,110EF57,,,49.32,-123.05,111.3,,,1969,1997,1970,1997
NORTH VANC LONSDALE PARK,BC,110EFE9,,,49.33,-123.07,135.6,,,1969,1971,1969,1971
N VANCOUVER CLOVERLEY,BC,110EFEF,,,49.32,-123.05,79.2,,,1968,1984,1968,1984
N VANCOUVER SEYMOUR BLVD,BC,110EFFF,,,49.32,-123.02,8.5,,,1968,1982,1968,1982
N VANCOUVER CAPILANO HIGHLANDS,BC,110EFNN,,,49.35,-123.12,130,,,1989,1991,1989,1991
PITT MEADOWS STP,BC,110FAG9,,,49.22,-122.68,4.9,,,1974,1993,1974,1993
PORT COQUITLAM BURKE MOUNTAIN,BC,110FBEE,,,49.28,-122.75,60,,,1991,1995,1991,1995
PITT MEADOWS ALOUETTE RIVER,BC,110FJPP,,,49.28,-122.67,6,,,1986,1992,1986,1992
PORLIER PASS LIGHT STATION,BC,110FK0M,,,49.02,-123.58,3.3,,,1987,1996,1987,1996
PORT COQUITLAM MARY HILL,BC,110FKNF,,,49.25,-122.78,63,,,1988,1990,1988,1990
SURREY PANORAMA RIDGE,BC,110G8G8,,,49.1,-122.85,50,,,1987,1992,1987,1992
SURREY GUILDFORD,BC,110GQPB,,,49.19,-122.83,80,,,1988,2004,1988,2004
VANCOUVER JERICHO BEACH,BC,110H447,,,49.27,-123.17,6.7,,,1927,1936,1927,1936
VANCOUVER WEST 10TH,BC,110H488,,,49.27,-123.17,54.9,,,1975,1984,1975,1984
VANCOUVER GRANDVIEW E,BC,110HD45,,,49.27,-123.03,53.3,,,1961,1962,1961,1962
VANCOUVER GRANDVIEW N,BC,110HD4N,,,49.28,-123.05,45.7,,,1961,1963,1961,1962
VANCOUVER KITSILANO BEACH,BC,110HM5C,,,49.27,-123.17,12,,,1987,1988,1987,1988
INDIAN ARM FARRER COVE,BC,110L6M7,,,49.33,-122.88,20,,,1993,1993,1993,1993
MAPLE RIDGE WHONNOCK LAKE,BC,110MR02,,,49.22,-122.48,172,,,1987,1988,1987,1988
N VAN SEYMOUR HATCHERY,BC,110N666,,,49.44,-122.97,177,,,1981,2018,1981,2007
N VANCOUVER REDONDA DR,BC,110N6F5,,,49.37,-123.08,228.6,,,1973,1995,1973,1995
N VANC SONORA DR,BC,110N6FF,,,49.36,-123.1,182.9,,,1976,2011,1976,2007
NORTH VANCOUVER BLUE RIDGE,BC,110NFEQ,,,49.32,-123,71.9,,,1988,1989,1988,1989
NORTH VANCOUVER DOLLARTON,BC,110NFNF,,,49.32,-122.95,52,,,1988,1991,1988,1991
SURREY FLEETWOOD,BC,110S001,,,49.15,-122.79,67,,,1996,2001,1996,2001
ALLISON PASS,BC,1110350,,,49.13,-120.83,1341.1,,,1958,1972,1958,1972
ALLISON PASS DOH,BC,1110352,,,49.12,-120.87,1339.9,,,1974,1989,1974,1989
BOSTON BAR ALPINE,BC,111090D,,,49.92,-121.45,213,,,1985,1985,1985,1985
BOSTON BAR,BC,111090M,,,49.87,-121.43,199.9,,,1974,1989,1974,1989
BIRKENHEAD LAKE,BC,1110Q78,,,50.57,-122.65,715.1,,,1983,1985,1983,1985
BOSTON BAR,BC,1110R04,,,49.87,-121.45,163.1,,,1968,1968,1968,1968
EAST LILLOOET,BC,1112625,,,50.7,-121.92,269.7,,,1957,1960,1957,1960
GATES STATION,BC,1113072,,,50.52,-122.52,390.2,,,1974,1994,1974,1994
HELLS GATE,BC,1113420,,,49.78,-121.45,121.9,,,1951,1987,1951,1987
HOPE,BC,1113539,71114,YHE,49.37,-121.48,39,1994,2005,1990,2005,1990,2004
HOPE A,BC,1113540,,,49.37,-121.5,39,1953,1995,1934,1995,1934,1995
HOPE (AUT),BC,1113541,71114,ZHE,49.37,-121.5,39,2004,2012,2004,2012,2005,2007
HOPE A,BC,1113542,71187,YHE,49.37,-121.5,39,2011,2019,2011,2019,,
HOPE AIRPORT,BC,1113543,71114,VPE,49.37,-121.49,39,2012,2019,2012,2019,,
HOPE DOG MOUNTAIN,BC,1113545,,,49.42,-121.55,1475.2,,,1958,1958,1958,1958
HOPE KAWKAWA LAKE,BC,1113550,,,49.38,-121.4,152.4,,,1955,1977,1955,1977
HOPE LITTLE MOUNTAIN,BC,1113570,,,49.38,-121.42,176.8,,,1910,1954,1910,1954
HOPE SLIDE,BC,1113580,,,49.27,-121.22,701,,,1967,1974,1967,1974
HOPE SLIDE,BC,1113581,,WKV,49.27,-121.23,685,1969,2014,1975,2019,1975,2007
HOPE SLIDE A,BC,1113582,,WKV,49.28,-121.24,687.8,2014,2019,,,,
KWOTLENEMO LAKE,BC,1114435,,,50.67,-121.8,919,,,1969,1974,1969,1974
LADNER CREEK,BC,1114474,,,49.5,-121.25,807.1,,,1982,1992,1982,1992
LILLOOET,BC,1114619,71999,WKF,50.68,-121.93,239.5,1997,2019,1997,2019,1997,2005
LILLOOET,BC,1114620,,,50.7,-121.93,289.6,,,1878,1970,1878,1970
LILLOOET CEDAR FALLS,BC,1114621,,,50.6,-121.87,554.7,,,1962,1989,1962,1989
LILLOOET FOUNTAINVIEW,BC,1114622,,,50.53,-121.77,300,,,1987,1994,1987,1994
LILLOOET HEIGHTS,BC,1114623,,,50.7,-121.93,298.7,,,1961,1965,1961,1965
LILLOOET RUSSELL ST,BC,1114626,,,50.7,-121.93,243.8,,,1959,1983,1959,1983
LILLOOET SETON BCHPA,BC,1114627,,,50.67,-121.92,198.1,,,1971,2001,1971,2001
LILLOOET A,BC,11146K0,,,50.67,-121.88,402,,,1984,1986,1984,1986
LYTTON A,BC,1114738,71812,WLY,50.22,-121.58,224.9,2013,2019,2013,2019,,
LYTTON,BC,1114739,,WLY,50.22,-121.58,225,1994,2013,1990,2013,1990,2007
LYTTON,BC,1114740,,,50.23,-121.57,175,1953,1970,1944,1969,1944,1970
LYTTON,BC,1114741,,,50.23,-121.58,229,1970,1991,1970,1991,1970,1991
LYTTON BOTANIE VALLEY,BC,1114742,,,50.33,-121.55,730,,,1989,2006,1989,2006
